event_date,event_timestamp,event_name,event_value_in_usd,user_id,user_pseudo_id,user_first_touch_timestamp,category,mobile_model_name,mobile_brand_name,operating_system,language,is_limited_ad_tracking,browser,browser_version,country,medium,name,traffic_source,platform,total_item_quantity,purchase_revenue_in_usd,refund_value_in_usd,shipping_value_in_usd,tax_value_in_usd,transaction_id,page_title,page_location,source,page_referrer,campaign
20201119,1605787724681952,page_view,,,5284418088.7325696525,1605787196644908,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Sherpa Zip Hoodie Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Navy,,,
20201130,1606735248968745,page_view,,,11341074.5770059189,1606735110889754,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Australia,cpc,<Other>,google,WEB,,,,,,,Stickers | Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,,,
20210118,1610961087935483,first_visit,,,6905027.1372385289,1610961087935483,desktop,Edge,Microsoft,Web,en-gb,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://googlemerchandisestore.com/,,,
20201129,1606645724370086,session_start,,,2695025.5984098512,1606645724370086,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,Slovakia,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201212,1607800819855325,user_engagement,,,13380357.2895851612,1607800798234570,desktop,Edge,Microsoft,Web,en-us,No,Edge,87.0,Sweden,cpc,<Other>,google,WEB,,,,,,,The Google Merchandise Store - Log In,https://shop.googlemerchandisestore.com/signin.html,shop.googlemerchandisestore.com,,(referral)
20201211,1607647319364489,scroll,,,89614760.0710580726,1607647110175616,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,google,,<Other>
20201110,1605048758211527,user_engagement,,,6680491.4439109656,1605034732213943,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,Italy,cpc,<Other>,google,WEB,,,,,,,Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,google,,<Other>
20201103,1604405937323969,page_view,,,71689082.1438504199,1604314407805441,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Russia,cpc,<Other>,google,WEB,,,,,,,Hats | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,google,,<Other>
20201105,1604542271403455,user_engagement,,,4080192.0918946925,1604542229386449,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,google,,<Other>
20210106,1609902602132574,user_engagement,,,5612330.6892775676,1609902576856178,desktop,Edge,Microsoft,Web,en-ca,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201118,1605713359064067,page_view,,,71487066.2860752727,1605713352433373,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201213,1607877153866044,user_engagement,,,7290697.7764834725,1607877144744448,desktop,Edge,Microsoft,Windows,zh,No,Edge,87.0,China,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/store.html,,,
20201130,1606736059890810,page_view,,,11341074.5770059189,1606735110889754,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Australia,cpc,<Other>,google,WEB,,,,,,,Android Garden Tee Orange,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Garden+Tee+Orange,,,
20201219,1608361580921333,user_engagement,,,8568417.8625327111,1608361577489238,desktop,Edge,Microsoft,Web,en-gb,No,Edge,86.0,Canada,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,,,
20201123,1606097396750072,page_view,,,6184633.0633538715,1606097396750072,desktop,Edge,Microsoft,Windows,en-us,No,Edge,<Other>,Cyprus,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,google,,<Other>
20201212,1607811166043456,first_visit,,,61373174.6672743156,1607811166043456,desktop,Edge,Microsoft,Web,en-us,No,Edge,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Online Store,https://www.googlemerchandisestore.com/,,,
20201211,1607648275916922,select_item,,,89614760.0710580726,1607647110175616,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens?,
20201111,1605086070063497,user_engagement,,,5823061.9157756741,1605085204149405,desktop,Edge,Microsoft,Web,en,No,Edge,87.0,India,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/ordercompleted.html?,(referral)
20201202,1606919539692652,scroll,,,90264310.3728957658,1606919452819904,desktop,Edge,Microsoft,Web,,No,Edge,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201128,1606593502354704,select_item,,,79196528.5649458005,1606593394311934,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,Singapore,cpc,<Other>,google,WEB,,,,,,(not set),Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,,,
20210118,1610961236290787,page_view,,,6905027.1372385289,1610961087935483,desktop,Edge,Microsoft,Web,en-gb,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand,,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android?,
20201204,1607068000411055,view_item,,,67357054.9566811359,1607067937521491,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Greece,cpc,<Other>,google,WEB,,,,,,(not set),Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel?,
20201206,1607241591583705,user_engagement,,,48028670.1890447028,1606793215032614,desktop,Edge,Microsoft,Web,en-us,No,Edge,86.0,United States,cpc,<Other>,google,WEB,,,,,,,Shopping Cart,https://shop.googlemerchandisestore.com/basket.html,,,
20201208,1607465887271068,view_promotion,,,15068969.4294022313,1607465845352113,desktop,Edge,Microsoft,Web,,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,https://shop.googlemerchandisestore.com/signin.html?,
20201130,1606763484395769,page_view,,,26905036.2629067476,1606667037599937,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,Canada,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,google,,<Other>
